station_id,station_name,latitude,longitude,avg_wind_speed,avg_wind_direction
63590,Torup A,56.9494,13.0601,3.5,22.0
71003,Trelleborg GBG,55.3694,13.1588,4.5,270.0
97100,Tullinge A,59.1785,17.9093,7.4,338.0
122260,Tännäs A,62.4494,12.6676,1.3,222.0
17045,Töcksfors,59.5066,11.8158,2.7,315.0
72090,Ullared A,57.1134,12.7732,2.1,15.0
140480,Umeå Flygplats,63.7931,20.28,4.0,330.0
97510,Uppsala Aut,59.8471,17.632,4.8,341.0
97530,Uppsala Flygplats,59.9,17.593,8.0,0.0
15060,V Horred,57.3554,12.4618,1.6,0.0
19024,Vallbymotet,59.6172,16.5112,1.4,315.0
160970,Vidsel,65.875,20.15,5.0,10.0
146350,Vilhelmina A,64.5798,16.8386,2.2,67.0
71380,Vinga A,57.6322,11.6048,5.7,345.0
78400,Visby Flygplats,57.6678,18.3516,6.0,350.0
84050,Visingsö A,58.0948,14.4058,4.4,35.0
11031,Visseltofta,56.4308,13.8754,2.6,315.0
25061,Vittangi,67.6673,21.6757,3.6,315.0
81350,Väderöarna A,58.576,11.0661,5.4,347.0
75003,Västerås västra GBG,59.5959,16.5086,2.2,315.0
138070,Västmarkum A,63.1243,18.2518,3.6,298.0
64510,Växjö A,56.8463,14.8296,5.6,5.0
173900,Ylinenjärvi A,66.6223,23.4635,3.4,353.0
22046,Ytterturingen2,62.4295,14.9926,3.2,315.0
114140,Älvdalen A,61.2536,14.0355,4.7,340.0
161910,Älvsbyn A,65.6691,21.062,4.6,3.0
62180,Ängelholm-Barkåkra Flygplats,56.2926,12.8558,6.0,0.0
106570,Åmot A,60.9614,16.4279,2.8,355.0
76001,Ånge GBG,62.5255,15.6442,2.2,315.0
147090,Åsele A,64.165,17.3153,2.4,63.0
77210,Ölands norra udde A,57.3671,17.0954,6.1,6.0
66110,Ölands södra udde A,56.1977,16.4005,2.5,262.0
95130,Örebro Flygplats,59.2289,15.0455,5.0,350.0
138240,Örnsköldsviks Flygplats,63.4119,18.9797,4.0,350.0
108320,Örskär A,60.5256,18.3729,13.4,355.0
134110,Östersund-Frösön Flygplats,63.1981,14.4869,8.0,330.0
172770,Överkalix-Svartbyn A,66.2618,22.8427,2.6,344.0
