avg_speed,max_speed,data_points,first_date,last_date,station_id,name,lat,lon,height,last_updated
1.9984227810906576,9.3,23142,2025-05-04,2025-05-04,6057,Håknarp2,57.8739,13.9349,0.0,2025-05-04 18:00:00
2.7308869064162433,15.9,255461,2025-05-04,2025-05-04,53530,Hörby A,55.8624,13.6673,112.812,2025-05-04 18:00:00
5.4744692773412345,30.5,310520,2025-05-04,2025-05-04,112540,Idre Fjäll,61.8897,12.8525,866.126,2025-05-04 18:00:00
2.221873550780646,19.0,194070,2025-05-04,2025-05-04,170860,Jokkmokk Flygplats,66.491,20.142,275.4,2025-05-04 18:00:00
1.4701779563719861,9.0,146328,2025-05-04,2025-05-04,136410,Junsele A,63.6839,16.95,218.766,2025-05-04 18:00:00
1.962700773349197,9.0,1681,2025-05-04,2025-05-04,14042,Järnbrottsmotet,57.646,11.9413,0.0,2025-05-04 18:00:00
4.688934000284129,24.0,267486,2025-05-04,2025-05-04,139260,Järnäsklubb A,63.4351,19.6731,5.928,2025-05-04 18:00:00
2.5490209931368586,10.5,9908,2025-05-04,2025-05-04,73001,Jönköping GBG,57.7639,14.1778,0.0,2025-05-04 18:00:00
3.909031454804371,21.0,508412,2025-05-04,2025-05-04,74460,Jönköping-Axamos Flygplats,57.7514,14.0733,226.0,2025-05-04 18:00:00
3.9074892750210686,23.0,472262,2025-05-04,2025-05-04,66420,Kalmar flygplats,56.6784,16.2922,6.0,2025-05-04 18:00:00
2.5836763094139363,17.4,138688,2025-05-04,2025-05-04,192840,Karesuando A,68.4418,22.4435,329.68,2025-05-04 18:00:00
4.094576769236701,26.0,492769,2025-05-04,2025-05-04,84310,Karlsborg,58.514,14.507,94.5,2025-05-04 18:00:00
5.026259043173862,22.0,128550,2025-05-04,2025-05-04,65090,Karlskrona-Söderstjerna,56.15,15.589,2.4,2025-05-04 18:00:00
3.4442169705746823,22.0,531685,2025-05-04,2025-05-04,93220,Karlstad Flygplats,59.4446,13.3374,107.0,2025-05-04 18:00:00
3.350638830300647,23.2,139865,2025-05-04,2025-05-04,188850,Katterjåkk A,68.4202,18.168,514.248,2025-05-04 18:00:00
2.3090025812585693,13.4,254527,2025-05-04,2025-05-04,106160,Kerstinbo A,60.2683,16.9738,55.695,2025-05-04 18:00:00
3.11696364428637,13.3,254733,2025-05-04,2025-05-04,85460,Kettstaka A,58.7162,15.0271,224.876,2025-05-04 18:00:00
3.0381812581392262,14.1,256474,2025-05-04,2025-05-04,94190,Kilsbergen-Suttarboda A,59.2996,14.8956,218.353,2025-05-04 18:00:00
3.4441324091778203,24.0,527184,2025-05-04,2025-05-04,180940,Kiruna Flygplats,67.827,20.3387,459.0,2025-05-04 18:00:00
2.1379726142447923,10.2,133354,2025-05-04,2025-05-04,95540,Kloten A,59.8703,15.2522,283.21,2025-05-04 18:00:00
4.384235976789168,21.4,249194,2025-05-04,2025-05-04,124300,Klövsjöhöjden A,62.4952,14.1542,802.503,2025-05-04 18:00:00
2.501754206689829,13.5,29358,2025-05-04,2025-05-04,12000,Knivsåsen,55.6547,13.4064,0.0,2025-05-04 18:00:00
2.7896970654449222,13.2,253190,2025-05-04,2025-05-04,86420,Kolmården-Strömsfors A,58.6892,16.3069,153.613,2025-05-04 18:00:00
4.011925601750546,23.6,246780,2025-05-04,2025-05-04,133500,Korsvattnet A,63.8385,13.5009,716.605,2025-05-04 18:00:00
1.9521076472404983,13.0,213698,2025-05-04,2025-05-04,65510,Kosta,56.841,15.471,230.0,2025-05-04 18:00:00
1.9913023856336114,10.9,254817,2025-05-04,2025-05-04,82360,Kroppefjäll-Granan A,58.6065,12.1973,173.75,2025-05-04 18:00:00
1.7448222352061622,23.0,318342,2025-05-04,2025-05-04,136090,Krångede A,63.1512,16.1699,183.123,2025-05-04 18:00:00
4.857125567424815,26.0,294973,2025-05-04,2025-05-04,117430,Kuggören A,61.7027,17.5216,8.568,2025-05-04 18:00:00
1.4384141549849172,9.0,118347,2025-05-04,2025-05-04,85390,Kvarn,58.645,15.434,71.9,2025-05-04 18:00:00
1.5335348043610284,13.3,138316,2025-05-04,2025-05-04,167990,Kvikkjokk-Årrenjarka A,66.8874,18.0198,314.692,2025-05-04 18:00:00
1.601087010970295,9.8,19963,2025-05-04,2025-05-04,11039,Källstorp,56.2206,13.56,0.0,2025-05-04 18:00:00
1.110272801188774,7.3,35667,2025-05-04,2025-05-04,21041,Kårböle 2,61.9824,15.3149,0.0,2025-05-04 18:00:00
1.5159310489737825,11.0,252237,2025-05-04,2025-05-04,171790,Lakaträsk A,66.2789,21.1285,185.031,2025-05-04 18:00:00
6.480689518046924,26.1,256498,2025-05-04,2025-05-04,87440,Landsort A,58.7429,17.8684,17.484,2025-05-04 18:00:00
2.2295551241928457,19.1,252430,2025-05-04,2025-05-04,180770,Latnivaara A,67.2551,20.2704,453.191,2025-05-04 18:00:00
2.6045782804196755,14.7,14678,2025-05-04,2025-05-04,16036,Lekåsa,58.1442,12.8643,0.0,2025-05-04 18:00:00
3.7875635182392235,24.0,603370,2025-05-04,2025-05-04,85240,Linköping-Malmslätt,58.398,15.523,94.0,2025-05-04 18:00:00
2.252277293117208,13.0,254359,2025-05-04,2025-05-04,63510,Ljungby A,56.8525,13.8794,148.485,2025-05-04 18:00:00
3.354784544937203,22.5,604488,2025-05-04,2025-05-04,162860,Luleå-Kallax Flygplats,65.543,22.124,19.9,2025-05-04 18:00:00
5.52923581177857,26.6,295333,2025-05-04,2025-05-04,128390,Lungö A,62.6417,18.0899,14.325,2025-05-04 18:00:00
2.135329065925814,19.0,319632,2025-05-04,2025-05-04,148330,Lycksele A,64.5481,18.713,210.07,2025-05-04 18:00:00
5.83932525039536,14.4,1897,2025-05-04,2025-05-04,12037,Maglarp,55.3901,13.0761,0.0,2025-05-04 18:00:00
2.6057115395931816,14.0,254905,2025-05-04,2025-05-04,85050,Malexander A,58.0716,15.233,197.27,2025-05-04 18:00:00
3.1622706214037226,19.4,303265,2025-05-04,2025-05-04,52350,Malmö A,55.5715,13.0708,19.757,2025-05-04 18:00:00
3.2999900497512438,9.7,10050,2025-05-04,2025-05-04,71002,Malmö GBG,55.6116,13.0145,0.0,2025-05-04 18:00:00
4.873293768545994,26.0,326890,2025-05-04,2025-05-04,53300,Malmö-Sturup Flygplats,55.5231,13.3787,72.0,2025-04-30 23:59:59
2.1565565557967603,13.2,131746,2025-05-04,2025-05-04,103420,Malung A,60.6765,13.7072,302.583,2025-05-04 18:00:00
2.2129742165807222,15.9,252100,2025-05-04,2025-05-04,158740,Malå-Brännan A,65.1512,18.5935,363.111,2025-05-04 18:00:00
3.085608739742137,22.5,234698,2025-05-04,2025-05-04,166910,Mierkenis A,66.6802,16.1053,613.982,2025-05-04 18:00:00
2.317837452974512,23.0,311799,2025-05-04,2025-05-04,104580,Mora A,60.9601,14.5041,195.417,2025-05-04 18:00:00
2.6802134652480465,14.4,148783,2025-05-04,2025-05-04,75250,Målilla A,57.3845,15.8009,95.667,2025-05-04 18:00:00
7.28693842206033,28.0,251746,2025-05-04,2025-05-04,81050,Måseskär A,58.0937,11.3312,14.973,2025-05-04 18:00:00
2.83250135959012,20.1,244559,2025-05-04,2025-05-04,191910,Naimakka A,68.6762,21.5229,402.202,2025-05-04 18:00:00
1.793602281305041,16.4,238460,2025-05-04,2025-05-04,170930,Nattavaara A,66.7516,20.9238,327.631,2025-05-04 18:00:00
4.159934861601835,22.4,238876,2025-05-04,2025-05-04,83420,Naven A,58.6994,13.1084,53.314,2025-05-04 18:00:00
7.117490278548047,30.0,311939,2025-05-04,2025-05-04,71190,Nidingen A,57.3036,11.9049,3.785,2025-05-04 18:00:00
2.5584839954537046,27.3,302664,2025-05-04,2025-05-04,179960,Nikkaluokta A,67.8527,19.0212,466.765,2025-05-04 18:00:00
5.757415515771526,27.0,293250,2025-05-04,2025-05-04,81540,Nordkoster A,58.892,11.0038,33.362,2025-05-04 18:00:00
2.315680283341014,12.9,275569,2025-05-04,2025-05-04,86340,Norrköping-SMHI,58.5828,16.147,40.334,2025-05-04 18:00:00
2.2976192474807435,11.1,250173,2025-05-04,2025-05-04,149560,Norsjö A,64.9253,19.3744,309.576,2025-05-04 18:00:00
1.909802693391795,11.8,249054,2025-05-04,2025-05-04,172940,Paharova A,66.8094,22.3315,227.643,2025-05-04 18:00:00
2.292892115482019,11.4,148075,2025-05-04,2025-05-04,183750,Pajala A,67.2036,23.3899,163.774,2025-05-04 18:00:00
2.009503753077038,13.4,247397,2025-05-04,2025-05-04,182910,Parkalompolo A,67.7301,22.8219,312.183,2025-05-04 18:00:00
1.7433524442785902,12.4,29477,2025-05-04,2025-05-04,11001,Perstorp,56.1342,13.3512,0.0,2025-05-04 18:00:00
1.510241379583872,14.6,252134,2025-05-04,2025-05-04,149340,Petisträsk A,64.5659,19.6943,258.047,2025-05-04 18:00:00
5.124567635674484,26.0,336117,2025-05-04,2025-05-04,161710,Pite-Rönnskär A,65.034,21.5609,4.878,2025-05-04 18:00:00
6.771181326473724,25.4,204482,2025-05-04,2025-05-04,83450,Pålgrunden A,58.7551,13.1514,53.642,2025-05-04 18:00:00
2.9443019242229713,25.7,250023,2025-05-04,2025-05-04,189720,Rensjön A,68.073,19.8351,493.651,2025-05-04 18:00:00
2.7348891610949497,20.8,235116,2025-05-04,2025-05-04,177930,Ritsem A,67.7255,17.4668,541.214,2025-05-04 18:00:00
3.4216621094206454,22.0,599046,2025-05-04,2025-05-04,65160,Ronneby-Bredåkra,56.267,15.265,58.2,2025-05-04 18:00:00
2.4847718661193556,13.6,253360,2025-05-04,2025-05-04,73480,Rångedala A,57.7846,13.1642,297.467,2025-05-04 18:00:00
5.854254517373369,26.0,269349,2025-05-04,2025-05-04,162790,Rödkallen A,65.3121,22.3709,1.932,2025-05-04 18:00:00
2.397206842080068,15.4,250684,2025-05-04,2025-05-04,182810,Saittarova A,67.3363,22.2288,240.652,2025-05-04 18:00:00
2.07149759961313,13.8,256417,2025-05-04,2025-05-04,96560,Sala A,59.9093,16.6843,56.575,2025-05-04 18:00:00
3.6563877897117014,17.9,3538,2025-05-04,2025-05-04,25075,Seskarö,65.7464,23.8069,0.0,2025-05-04 18:00:00
4.775767966626636,21.9,253136,2025-05-04,2025-05-04,139120,Skagsudde A,63.1872,19.0199,9.343,2025-05-04 18:00:00
4.019377541038951,20.4,346561,2025-05-04,2025-05-04,98160,Skarpö A,59.3446,18.7404,19.287,2025-05-04 18:00:00
3.35039253019756,21.0,328255,2025-05-04,2025-05-04,151380,Skellefteå Flygplats,64.6244,21.0717,48.0,2025-05-04 18:00:00
4.641445194486405,22.5,254208,2025-05-04,2025-05-04,54290,Skillinge A,55.489,14.3144,4.016,2025-05-04 18:00:00
2.166926880041634,10.3,19215,2025-05-04,2025-05-04,14013,Skulltorpsmotet,57.7401,12.1345,0.0,2025-05-04 18:00:00
2.460415505149799,11.9,34079,2025-05-04,2025-05-04,11018,Skättilljunga,55.9565,13.927,0.0,2025-05-04 18:00:00
8.00955005085057,48.6,223203,2025-05-04,2025-05-04,154730,Stekenjokk A,65.0929,14.5055,1037.322,2025-05-04 18:00:00
3.205167667837336,16.0,147494,2025-05-04,2025-05-04,97400,Stockholm-Arlanda Flygplats,59.6269,17.9545,42.0,2025-05-04 18:00:00
3.3935275064328803,19.0,585663,2025-05-04,2025-05-04,97200,Stockholm-Bromma Flygplats,59.3537,17.9513,14.0,2025-05-04 18:00:00
7.081562352465098,39.3,237232,2025-05-04,2025-05-04,178860,Stora Sjöfallet A,67.4948,18.2907,426.536,2025-05-04 18:00:00
2.765566625405104,15.1,249627,2025-05-04,2025-05-04,105220,Stora Spånsberget A,60.3817,15.1374,492.257,2025-05-04 18:00:00
1.493523275727853,6.5,19269,2025-05-04,2025-05-04,8027,Storgöl,57.4232,15.8252,0.0,2025-05-04 18:00:00
3.105356566138136,17.2,130046,2025-05-04,2025-05-04,132170,Storlien-Storvallen A,63.2826,12.1218,583.124,2025-05-04 18:00:00
3.406910748095636,17.1,45422,2025-05-04,2025-05-04,23058,Storlien2,63.3178,12.0875,0.0,2025-05-04 18:00:00
4.5261953701655235,22.8,248605,2025-05-04,2025-05-04,163900,Storön A,65.6972,23.0959,2.394,2025-05-04 18:00:00
3.00187004384334,22.0,462556,2025-05-04,2025-05-04,127310,Sundsvall-Timrå Flygplats,62.5246,17.441,4.0,2025-05-04 18:00:00
1.8683293782074513,14.5,256629,2025-05-04,2025-05-04,93520,Sunne A,59.8639,13.1166,108.947,2025-05-04 18:00:00
1.8674901336504122,11.5,255667,2025-05-04,2025-05-04,98490,Svanberga A,59.8317,18.6313,14.821,2025-05-04 18:00:00
2.216869651998743,14.1,54109,2025-05-04,2025-05-04,25060,Svappavaara,67.6117,21.1062,0.0,2025-05-04 18:00:00
2.5362346553883297,17.1,133353,2025-05-04,2025-05-04,124030,Sveg A,62.0462,14.4069,357.187,2025-05-04 18:00:00
7.416949356561323,30.0,182768,2025-05-04,2025-05-04,99270,Svenska Högarna,59.4439,19.5028,10.145,2021-12-31 23:59:59
6.98422804760373,22.7,124360,2025-05-04,2025-05-04,99280,Svenska Högarna A,59.4423,19.5022,11.811,2025-05-04 18:00:00
6.822759616910605,32.5,308753,2025-05-04,2025-05-04,132030,Sylarna A,63.0438,12.2748,1030.11,2025-05-04 18:00:00
